"id","content","image_url","lesson_id","category_id","category_name","answers","count"
14554,"عندما يسمع الكلب صوت الجرس فإنه يلتفت نحو مصدر الصوت، أي مما يلي صحيح في هذه الحالة:","",10,1,"أسئلة ربط مؤتمتة","[{""content"" : ""يتدخل المخ في هذا المنعكس"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14554, ""image_url"" : """"}, {""content"" : ""صوت الجرس منبه ثانوي"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14554, ""image_url"" : """"}, {""content"" : ""المركز العصبي المسؤول عن هذا المنعكس هو الحدبة الحلقية"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14554, ""image_url"" : """"}, {""content"" : ""هذا المنعكس غريزي"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 14554, ""image_url"" : """"}]","4"
14553,"يوضح الشكل التالي مراحل حدوث المنعكس الداغصي،
الخلايا الدبقية التي تقوم بتغذية العصبون رقم (1):","/public/images/app/seen-image-1729456324206-593558708",10,1,"أسئلة ربط مؤتمتة","[{""content"" : ""الصغيرة"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14553, ""image_url"" : """"}, {""content"" : ""الساتلة"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 14553, ""image_url"" : """"}, {""content"" : ""شوان"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14553, ""image_url"" : """"}, {""content"" : ""النجمية"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14553, ""image_url"" : """"}]","4"
14552,"يوضح الشكل التالي مراحل حدوث المنعكس الداغصي،
نسمي العصبون رقم (3) الذي يحرر ناقلاً عصبياً مثبطاً:","/public/images/app/seen-image-1729456321537-877793017",10,1,"أسئلة ربط مؤتمتة","[{""content"" : ""الحسي"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14552, ""image_url"" : """"}, {""content"" : ""المفرز"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14552, ""image_url"" : """"}, {""content"" : ""البيني"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 14552, ""image_url"" : """"}, {""content"" : ""المحرك"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14552, ""image_url"" : """"}]","4"
14551,"لديك الشكل التالي،
أي من الأرقام يشير إلى بنية مسؤولة عن إدراك الموسيقا المحزنة:","/public/images/app/seen-image-1729456318493-636695371",9,1,"أسئلة ربط مؤتمتة","[{""content"" : ""3"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 14551, ""image_url"" : """"}, {""content"" : ""2"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14551, ""image_url"" : """"}, {""content"" : ""4"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14551, ""image_url"" : """"}, {""content"" : ""1"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14551, ""image_url"" : """"}]","4"
3040,"تتصف جميع الهرمونات الآتية: الأدرينالين، النورأدرينالين، الكورتيزول بأنها:","",19,1,"أسئلة ربط مؤتمتة","[{""content"" : ""تتحرر من النخامة الأمامية"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 3040, ""image_url"" : """"}, {""content"" : ""تمر عبر الغشاء الهيولي"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 3040, ""image_url"" : """"}, {""content"" : ""تختلف من حيث موقع مستقبلها في الخلية الهدف"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 3040, ""image_url"" : """"}, {""content"" : ""طبيعتها الكيميائية ستيروئيدية"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 3040, ""image_url"" : """"}]","4"
14508,"لديك الشكل التالي الذي يمثل الوجه البطني للدماغ،
أي من الأرقام يشير إلى منطقة توجد في مكان تباعد السويقتين المخيتين:
","/public/images/app/seen-image-1729456203212-969813062",1,1,"أسئلة ربط مؤتمتة","[{""content"" : ""1"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14508, ""image_url"" : """"}, {""content"" : ""2"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 14508, ""image_url"" : """"}, {""content"" : ""3"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14508, ""image_url"" : """"}, {""content"" : ""4"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14508, ""image_url"" : """"}]","4"
14507,"لديك الشكل التالي،
أي من الأرقام يتميز بوجود أثلام عرضية عليه:","/public/images/app/seen-image-1729456200351-568374645",1,1,"أسئلة ربط مؤتمتة","[{""content"" : ""6"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 14507, ""image_url"" : """"}, {""content"" : ""5"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14507, ""image_url"" : """"}, {""content"" : ""4"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14507, ""image_url"" : """"}, {""content"" : ""1"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 14507, ""image_url"" : """"}]","4"
13602,"أي مما يلي صحيح عند إفراز اللعاب نتيجة شم رائحة الطعام:","",10,1,"أسئلة ربط مؤتمتة","[{""content"" : ""يتدخل المخ في هذا المنعكس"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 13602, ""image_url"" : """"}, {""content"" : ""تعتبر رائحة الطعام منبه أولي"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 13602, ""image_url"" : """"}, {""content"" : ""المركز العصبي المسؤول عن إفراز اللعاب هو النخاع الشوكي"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 13602, ""image_url"" : """"}, {""content"" : ""لا يترافق هذا المنعكس بإحساس شعوري"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 13602, ""image_url"" : """"}]","4"
35141,"لديك في الشكل التالي منحني عتبات التنبيه لعصب محيطي، ما قيمة الزمن المفيد الأساسي لهذا العصب:","/public/images/app/seen-image-1749394520355-612944096.jpg",4,1,"أسئلة ربط مؤتمتة","[{""content"" : ""0.3"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 35141, ""image_url"" : """"}, {""content"" : ""1"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 35141, ""image_url"" : """"}, {""content"" : ""2.6"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 35141, ""image_url"" : """"}, {""content"" : ""15"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 35141, ""image_url"" : """"}]","4"
35140,"لديك في الشكل التالي منحني عتبات التنبيه لعصب محيطي، ما قيمة الكروناكسي لهذا العصب:","/public/images/app/seen-image-1749394517874-665043063.jpg",4,1,"أسئلة ربط مؤتمتة","[{""content"" : ""2.6"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 35140, ""image_url"" : """"}, {""content"" : ""0.3"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 35140, ""image_url"" : """"}, {""content"" : ""30"", ""notes"" : """", ""is_correct"" : false, ""question_id"" : 35140, ""image_url"" : """"}, {""content"" : ""1"", ""notes"" : """", ""is_correct"" : true, ""question_id"" : 35140, ""image_url"" : """"}]","4"
